production_date,Time,Finalizações por jogo,Escanteios por partida,Cartões amarelos por partida
20250507,arsenal,12.7,5.5,1.8
20250507,arsenal,12.7,5.5,1.8
20250509,arsenal,13.1,5.5,1.9
20250509,arsenal,13.1,5.5,1.9
20250514,arsenal,14.2,6.5,1.8
20250515,arsenal,14.2,6.5,1.8
20250517,arsenal,14.2,6.5,1.8
20250518,arsenal,14.1,6.6,1.8
20250520,arsenal,14.1,6.6,1.8
20250520,arsenal,14.1,6.6,1.8
20250520,arsenal,14.1,6.6,1.8
20250520,arsenal,14.1,6.6,1.8
20250520,arsenal,14.1,6.6,1.8
20250520,arsenal,14.1,6.6,1.8
20250520,arsenal,14.1,6.6,1.8
20250520,arsenal,14.1,6.6,1.8
20250521,arsenal,14.1,6.6,1.8
20250603,arsenal,14.4,6.6,1.8
20250608,arsenal,14.4,6.6,1.8
20250609,arsenal,14.4,6.6,1.8
20250609,arsenal,14.4,6.6,1.8
20250609,arsenal,14.4,6.6,1.8
20250610,arsenal,14.4,6.6,1.8
20250611,arsenal,14.4,6.6,1.8
20250612,arsenal,14.4,6.6,1.8
20250613,arsenal,14.4,6.6,1.8
20250614,arsenal,14.4,6.6,1.8
20250615,arsenal,14.4,6.6,1.8
20250616,arsenal,14.4,6.6,1.8
20250617,arsenal,14.4,6.6,1.8
20250618,arsenal,14.4,6.6,1.8
20250621,arsenal,14.4,6.6,1.8
20250622,arsenal,14.4,6.6,1.8
20250623,arsenal,14.4,6.6,1.8
20250625,arsenal,14.4,6.6,1.8
20250627,arsenal,14.4,6.6,1.8
20250628,arsenal,14.4,6.6,1.8
20250629,arsenal,14.4,6.6,1.8
20250630,arsenal,14.4,6.6,1.8
20250701,arsenal,14.4,6.6,1.8
20250702,arsenal,14.4,6.6,1.8
20250706,arsenal,14.4,6.6,1.8
20250707,arsenal,14.4,6.6,1.8
20250708,arsenal,14.4,6.6,1.8
20250709,arsenal,14.4,6.6,1.8
20250710,arsenal,14.4,6.6,1.8
20250711,arsenal,14.4,6.6,1.8
20250712,arsenal,14.4,6.6,1.8
20250714,arsenal,14.4,6.6,1.8
20250715,arsenal,14.4,6.6,1.8
20250716,arsenal,14.4,6.6,1.8
20250717,arsenal,14.4,6.6,1.8
20250719,arsenal,14.4,6.6,1.8
20250720,arsenal,14.4,6.6,1.8
20250721,arsenal,14.4,6.6,1.8
20250724,arsenal,14.4,6.6,1.8
20250725,arsenal,14.4,6.6,1.8
20250729,arsenal,14.4,6.6,1.8
20250731,arsenal,14.4,6.6,1.8
20250802,arsenal,14.4,6.6,1.8
20250803,arsenal,14.4,6.6,1.8
20250804,arsenal,14.4,6.6,1.8
20250805,arsenal,14.4,6.6,1.8
20250808,arsenal,14.4,6.6,1.8
20250809,arsenal,10,6,1
20250810,arsenal,10,6,1
20250811,arsenal,10,6,1
20250812,arsenal,10,6,1
20250813,arsenal,10,6,1
20250818,arsenal,9,4,4
20250819,arsenal,9,4,4
20250822,arsenal,9,4,4
20250825,arsenal,13.5,3,2
20250828,arsenal,13.5,3,2
20250914,arsenal,N/A,N/A,N/A
20250915,arsenal,N/A,N/A,N/A
20250920,arsenal,N/A,N/A,N/A
20250922,arsenal,N/A,N/A,N/A
20250923,arsenal,N/A,N/A,N/A
20250925,arsenal,N/A,N/A,N/A
20250926,arsenal,N/A,N/A,N/A
20251005,arsenal,N/A,N/A,N/A
20251006,arsenal,N/A,N/A,N/A
20251011,arsenal,N/A,N/A,N/A
