production_date,Time,Finalizações por jogo,Escanteios por partida,Cartões amarelos por partida
20250507,barcelona,16.0,4.9,1.0
20250507,barcelona,16.0,4.9,1.0
20250509,barcelona,17.8,6.9,1.6
20250514,barcelona,18.0,7.0,1.7
20250515,barcelona,17.8,6.9,1.7
20250517,barcelona,17.8,6.9,1.7
20250518,barcelona,18,7,1.7
20250520,barcelona,18,7,1.7
20250520,barcelona,18,7,1.7
20250520,barcelona,18,7,1.7
20250520,barcelona,18,7,1.7
20250520,barcelona,18,7,1.7
20250520,barcelona,18,7,1.7
20250520,barcelona,18,7,1.7
20250520,barcelona,18,7,1.7
20250521,barcelona,18,7,1.7
20250603,barcelona,17.8,7,1.6
20250608,barcelona,17.8,7,1.6
20250609,barcelona,17.8,7,1.6
20250609,barcelona,17.8,7,1.6
20250609,barcelona,17.8,7,1.6
20250610,barcelona,17.8,7,1.6
20250611,barcelona,17.8,7,1.6
20250612,barcelona,17.8,7,1.6
20250613,barcelona,17.8,7,1.6
20250614,barcelona,17.8,7,1.6
20250615,barcelona,17.8,7,1.6
20250616,barcelona,17.8,7,1.6
20250617,barcelona,17.8,7,1.6
20250618,barcelona,17.8,7,1.6
20250621,barcelona,17.8,7,1.6
20250622,barcelona,17.8,7,1.6
20250623,barcelona,17.8,7,1.6
20250625,barcelona,17.8,7,1.6
20250627,barcelona,17.8,7,1.6
20250628,barcelona,17.8,7,1.6
20250629,barcelona,17.8,7,1.6
20250630,barcelona,17.8,7,1.6
20250701,barcelona,17.8,7,1.6
20250702,barcelona,17.8,7,1.6
20250706,barcelona,17.8,7,1.6
20250707,barcelona,17.8,7,1.6
20250708,barcelona,17.8,7,1.6
20250709,barcelona,17.8,7,1.6
20250710,barcelona,17.8,7,1.6
20250711,barcelona,17.8,7,1.6
20250712,barcelona,17.8,7,1.6
20250714,barcelona,17.8,7,1.6
20250715,barcelona,17.8,7,1.6
20250716,barcelona,17.8,7,1.6
20250717,barcelona,17.8,7,1.6
20250719,barcelona,17.8,7,1.6
20250720,barcelona,17.8,7,1.6
20250721,barcelona,17.8,7,1.6
20250724,barcelona,17.8,7,1.6
20250725,barcelona,17.8,7,1.6
20250729,barcelona,17.8,7,1.6
20250731,barcelona,17.8,7,1.6
20250802,barcelona,17.8,7,1.6
20250803,barcelona,17.8,7,1.6
20250804,barcelona,17.8,7,1.6
20250805,barcelona,17.8,7,1.6
20250808,barcelona,17.8,7,1.6
20250809,barcelona,17.8,7,1.6
20250810,barcelona,17.8,7,1.6
20250811,barcelona,17.8,7,1.6
20250812,barcelona,17.8,7,1.6
20250813,barcelona,17.8,7,1.6
20250818,barcelona,24,6,1
20250819,barcelona,24,6,1
20250822,barcelona,24,6,1
20250825,barcelona,25,8.5,1
20250828,barcelona,25,8.5,1
20250914,barcelona,N/A,N/A,N/A
20250915,barcelona,N/A,N/A,N/A
20250920,barcelona,N/A,N/A,N/A
20250922,barcelona,N/A,N/A,N/A
20250923,barcelona,N/A,N/A,N/A
20250925,barcelona,N/A,N/A,N/A
20250926,barcelona,N/A,N/A,N/A
20251005,barcelona,N/A,N/A,N/A
20251006,barcelona,N/A,N/A,N/A
20251011,barcelona,N/A,N/A,N/A
