production_date,Time,Finalizações por jogo,Escanteios por partida,Cartões amarelos por partida
20250507,inter,12.4,3.0,2.1
20250507,inter,12.4,3.0,2.1
20250509,inter,15.5,6.0,1.4
20250514,inter,15.4,5.9,1.4
20250515,inter,15.4,5.9,1.4
20250517,inter,15.4,5.9,1.4
20250518,inter,15.2,5.9,1.4
20250520,inter,15.2,5.9,1.4
20250520,inter,15.2,5.9,1.4
20250520,inter,15.2,5.9,1.4
20250520,inter,15.2,5.9,1.4
20250520,inter,15.2,5.9,1.4
20250520,inter,15.2,5.9,1.4
20250520,inter,15.2,5.9,1.4
20250520,inter,15.2,5.9,1.4
20250521,inter,15.2,5.9,1.4
20250603,inter,12.1,3.2,2.2
20250608,inter,12.1,3.2,2.2
20250609,inter,12.1,3.2,2.2
20250609,inter,12.1,3.2,2.2
20250610,inter,12.1,3.2,2.2
20250611,inter,12.1,3.2,2.2
20250612,inter,12.1,3.2,2.2
20250613,inter,12.1,3.2,2.2
20250614,inter,12.1,3.2,2.2
20250615,inter,12.1,3.2,2.2
20250616,inter,12.1,3.2,2.2
20250617,inter,12.1,3.2,2.2
20250618,inter,15,6,3
20250621,inter,20.5,5.5,1.5
20250622,inter,20.5,5.5,1.5
20250623,inter,20.5,5.5,1.5
20250625,inter,20.5,5.5,1.5
20250627,inter,19,5,2.3
20250628,inter,19,5,2.3
20250629,inter,19,5,2.3
20250630,inter,18.3,5,2.3
20250701,inter,18.3,5,2.3
20250702,inter,18.3,5,2.3
20250706,inter,18.3,5,2.3
20250707,inter,18.3,5,2.3
20250708,inter,18.3,5,2.3
20250709,inter,18.3,5,2.3
20250710,inter,18.3,5,2.3
20250711,inter,18.3,5,2.3
20250712,inter,18.3,5,2.3
20250714,inter,18.3,5,2.3
20250715,inter,18.3,5,2.3
20250717,inter,18.3,5,2.3
20250719,inter,18.3,5,2.3
20250720,inter,18.3,5,2.3
20250721,inter,18.3,5,2.3
20250724,inter,18.3,5,2.3
20250725,inter,18.3,5,2.3
20250729,inter,18.3,5,2.3
20250731,inter,18.3,5,2.3
20250802,inter,18.3,5,2.3
20250803,inter,18.3,5,2.3
20250804,inter,18.3,5,2.3
20250805,inter,18.3,5,2.3
20250808,inter,18.3,5,2.3
20250809,inter,18.3,5,2.3
20250810,inter,18.3,5,2.3
20250811,inter,18.3,5,2.3
20250812,inter,18.3,5,2.3
20250813,inter,18.3,5,2.3
20250818,inter,18.3,5,2.3
20250819,inter,18.3,5,2.3
20250822,inter,18.3,5,2.3
20250825,inter,18.3,5,2.3
20250828,inter,20,6,0
20250914,inter,N/A,N/A,N/A
20250915,inter,N/A,N/A,N/A
20250920,inter,N/A,N/A,N/A
20250922,inter,N/A,N/A,N/A
20250923,inter,N/A,N/A,N/A
20250925,inter,N/A,N/A,N/A
20250926,inter,N/A,N/A,N/A
20251005,inter,N/A,N/A,N/A
20251006,inter,N/A,N/A,N/A
20251011,inter,N/A,N/A,N/A
